Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
I,4/19/2021,132,57,25,4,1,,,1,,,
I,4/20/2021,159,55,29,5,,,,5,,,
I,4/21/2021,165,43,21,7,3,1,,,,,
I,4/22/2021,134,48,24,4,1,,,,,,
I,4/23/2021,131,58,32,1,,,,,,,
I,4/24/2021,125.5,48,23,1,1,,1,,,,
I,4/25/2021,133.5,52,26,4,,,1,,,,
I,4/26/2021,158,66,30,5,6,2,2,1,,,
I,4/27/2021,148,47,24,7,,3,1,1,,,
I,4/28/2021,152,45,24,2,2,3,1,,,,
I,4/29/2021,127,52,21,4,2,,,,,,
I,4/30/2021,141,43,24,3,3,,,,,,
I,5/1/2021,102,51,15,3,,,,,,,
I,5/2/2021,119,51,17,7,1,,,,,,
I,5/3/2021,167,69,32,12,5,2,,,,,
I,5/4/2021,158,59,30,7,3,,,,,,
I,5/5/2021,170,43,17,7,5,,,1,,,
I,5/6/2021,131.5,43,25,2,1,,,,,,
I,5/7/2021,132,51,28,1,,,,,,,
I,5/8/2021,108,56,20,2,,,,,,,
I,5/9/2021,114.5,56,22,4,,,,,,,
I,5/10/2021,197.5,56,25,10,3,1,1,4,,,
I,5/11/2021,164.5,51,27,5,3,1,1,4,,,
I,5/12/2021,181.5,62,35,7,1,3,,4,,,
I,5/13/2021,156.5,44,14,8,3,1,1,,,,
I,5/14/2021,218.5,53,24,9,5,,4,3,,,
I,5/15/2021,139,40,15,3,2,,,2,,,
I,5/16/2021,132,45,20,2,2,1,,,,,
I,5/17/2021,151,60,30,6,2,1,,,,,
I,5/18/2021,162.5,49,25,8,2,2,,,,,
I,5/19/2021,110,44,15,3,,,1,,,,
I,5/20/2021,121.5,46,15,7,1,,,1,,,
I,5/21/2021,137,54,27,2,1,1,1,,,,
I,5/22/2021,130,50,26,3,1,,,,,,
I,5/23/2021,105,51,19,1,1,,1,1,,,
I,5/24/2021,257,54,20,12,5,,1,10,1,,
I,5/25/2021,250,51,20,6,3,2,4,11,,,
I,5/26/2021,244,50,16,10,2,1,4,8,,,
I,5/27/2021,214,51,21,11,5,7,,,,,
I,5/28/2021,175,54,26,6,4,3,1,2,,,
I,5/29/2021,155.5,35,17,4,1,1,,,,,
I,5/30/2021,114,30,13,,,,,,,,
I,5/31/2021,101,38,11,3,,,,,,,
I,6/1/2021,130,49,25,2,1,,,,,,
I,6/2/2021,169,53,21,6,2,,1,3,,,
I,6/3/2021,183.5,54,23,11,2,2,2,2,,,
I,6/4/2021,142.5,63,27,4,1,4,2,1,,,
I,6/5/2021,154,42,23,3,2,1,,2,,,
I,6/6/2021,148.5,47,21,3,3,,1,,,,
I,6/7/2021,205.5,59,21,11,2,2,,10,,,
I,6/8/2021,157,55,35,8,,,,,,,
I,6/9/2021,160,52,27,10,,,,,,,
I,6/10/2021,210,49,18,14,3,1,1,,,,
I,6/11/2021,190,63,26,13,4,1,1,3,,,
I,6/12/2021,142.5,51,22,3,3,2,,1,,,
I,6/13/2021,189.5,41,23,6,1,2,,2,,,
I,6/14/2021,294.5,48,11,11,8,6,2,,,,
I,6/15/2021,211,52,23,17,3,1,,,,,
I,6/16/2021,160,53,27,7,5,,,,,,
I,6/17/2021,208.5,59,25,18,3,1,,,,,
I,6/18/2021,191,57,33,9,1,,2,4,,,
I,6/19/2021,159.5,48,20,6,1,1,,,,,
I,6/20/2021,124,45,22,4,,,,,,,
I,6/21/2021,278.5,59,20,8,9,4,,12,,,
I,6/22/2021,266,55,17,12,4,2,3,11,,,
I,6/23/2021,359.5,72,13,19,10,2,5,19,,,
I,6/24/2021,175,45,17,8,1,1,3,1,,,
I,6/25/2021,167.5,52,24,7,5,,,1,,,
I,6/26/2021,134,45,18,10,1,,,,,,
I,6/27/2021,135.5,34,17,2,,,,,,,
I,6/28/2021,141.5,66,26,10,1,2,,3,,,
I,6/29/2021,222.5,47,16,7,8,2,1,1,,,
I,6/30/2021,142,59,28,8,1,1,,,,,
I,7/1/2021,148.5,50,31,3,,,,,,,
I,7/2/2021,119,44,19,,,1,,,,,
I,7/3/2021,103,46,13,4,,,,,,,
I,7/4/2021,107,47,13,5,,,,,,,
I,7/5/2021,136,67,28,8,4,1,,,,,
I,7/6/2021,150,58,30,5,3,,,,,,
I,7/7/2021,204,54,24,14,3,1,1,,,,
I,7/8/2021,171,57,26,7,3,3,,,,,
I,7/9/2021,196,61,22,12,8,3,1,1,,,
I,7/10/2021,160,38,12,6,2,,2,1,,,
I,7/11/2021,140,51,28,5,1,,,,,,
I,7/12/2021,232.5,57,20,11,3,4,1,9,,,
I,7/13/2021,193,62,30,7,3,3,,8,,,
I,7/14/2021,284.5,53,16,9,5,,3,14,,,
I,7/15/2021,220,47,16,7,4,2,2,5,,,
I,7/16/2021,159,49,18,9,1,1,1,,,,
I,7/17/2021,137.5,42,18,6,,,,1,,,
I,7/18/2021,114.5,38,12,2,,1,,,,,
I,7/19/2021,242.5,59,21,13,1,,2,14,,,
I,7/20/2021,248,52,18,12,4,3,3,3,,,
I,7/21/2021,185,56,20,11,6,1,1,,,,
I,7/22/2021,129,50,18,5,2,1,,1,,,
I,7/23/2021,138.5,55,23,9,1,,,1,,,
I,7/24/2021,126.5,45,20,2,3,,,1,,,
I,7/25/2021,135,38,18,2,1,,1,1,,,
I,7/26/2021,185,61,27,12,2,1,2,6,,,
I,7/27/2021,135,42,18,9,,,,,,,
I,7/28/2021,158,51,29,4,3,1,2,,,,
I,7/29/2021,193,53,24,10,2,3,2,,,,
I,7/30/2021,177,54,27,13,3,1,,,,,
I,7/31/2021,143,56,27,6,2,,,,,,
I,8/1/2021,108,31,13,1,,,,,,,
I,8/2/2021,336,59,13,17,6,5,3,10,,,
I,8/3/2021,177,48,14,9,2,2,7,,,,
I,8/4/2021,158.5,39,25,6,,,,,,,
I,8/5/2021,149,50,24,7,2,1,,1,,,
I,8/6/2021,149,55,26,7,2,,,3,,,
I,8/7/2021,169,57,27,4,4,2,2,4,,,
I,8/8/2021,160,37,18,4,1,1,1,1,,,
I,8/9/2021,257,69,20,15,4,2,4,13,,,
I,8/10/2021,326.5,59,14,12,2,3,4,17,1,,
I,8/11/2021,237,47,17,12,3,2,2,4,,,
I,8/12/2021,306,45,13,12,5,2,3,7,,,
I,8/13/2021,157,37,20,3,1,1,,,,,
I,8/14/2021,133,44,17,4,1,,1,,,,
I,8/15/2021,119,51,21,3,,,,1,,,
I,8/16/2021,178,63,31,10,3,,,9,,,
I,8/17/2021,219.5,44,21,11,3,,2,1,,,
I,8/18/2021,242,55,17,13,4,1,3,7,,,
I,8/19/2021,229.5,60,21,11,6,3,3,6,,,
I,8/20/2021,318.5,58,13,14,4,3,3,14,,,
I,8/21/2021,170,48,19,9,4,3,2,1,,,
I,8/22/2021,200,56,21,14,,1,,12,,,
I,8/23/2021,271,50,14,15,7,3,1,3,,,
