Hospital ,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
A,5/26/2021,106,22,9,,,,,,,,
A,5/27/2021,109,23,7,,,,,,,,
A,5/28/2021,125,26,9,3,,1,,,,,
A,5/29/2021,124.5,16,4,1,1,,,,,,
A,5/30/2021,86.5,23,5,,,,,,,,
A,5/31/2021,83,21,2,,,,,1,,,
A,6/1/2021,112.5,26,3,1,,,,,,,
A,6/2/2021,107,31,4,2,,,,,,,
A,6/3/2021,149.5,22,4,1,3,,,,,,
A,6/4/2021,175,27,7,4,,,1,,,,
A,6/5/2021,87,17,3,2,,,,,,,
A,6/6/2021,106,26,6,1,1,,,,,,
A,6/7/2021,95,29,8,2,,,1,,,,
A,6/8/2021,95,29,6,3,,,,1,,,
A,6/9/2021,146,24,8,4,,1,,1,,,
A,6/10/2021,95.5,21,1,3,,1,,,,,
A,6/11/2021,140,20,11,2,,,,,,,
A,6/12/2021,91,25,5,3,,,,,,,
A,6/13/2021,90,25,3,,,,,,,,
A,6/14/2021,111,24,6,2,,,,,,,
A,6/15/2021,115,23,6,1,2,,,,,,
A,6/16/2021,116.5,21,8,1,,,,,,,
A,6/17/2021,129,24,7,2,,,1,,,,
A,6/18/2021,111,22,5,1,,1,1,,,,
A,6/19/2021,94,20,5,,1,,,,,,
A,6/20/2021,119.5,18,7,1,,,,,,,
A,6/21/2021,99.5,22,4,,,,,,,,
A,6/22/2021,90,30,5,,1,,,,,,
A,6/23/2021,85,18,4,,,,,,,,
A,6/24/2021,131.5,18,8,2,,,,,,,
A,6/25/2021,126.5,19,7,1,1,,,,,,
A,6/26/2021,113,13,3,1,,,,,,,
A,6/27/2021,98,17,5,,1,,,,,,
A,6/28/2021,116.5,20,8,1,,,,,,,
A,6/29/2021,102,29,9,1,,,,,,,
A,6/30/2021,73.5,18,1,,,,,,,,
A,7/1/2021,94,19,4,1,,,,,,,
A,7/2/2021,74,23,7,,,,,,,,
A,7/3/2021,114,13,4,1,,,,,,,
A,7/4/2021,120.5,20,7,2,,1,,,,,
A,7/5/2021,118,25,6,2,,,,,,,
A,7/6/2021,137,22,6,5,,,,,,,
A,7/7/2021,112.5,28,9,1,,,,,,,
A,7/8/2021,86,21,6,,,,,,,,
A,7/9/2021,148.5,21,9,,1,,,,,,
A,7/10/2021,84,18,3,1,,,,,,,
A,7/11/2021,95,16,5,1,,,,,,,
A,7/12/2021,91,22,4,1,1,,,,,,
A,7/13/2021,104,24,6,2,,,,,,,
A,7/14/2021,132,26,10,2,,,,,,,
A,7/15/2021,114.5,30,12,,,,,,,,
A,7/16/2021,96,18,6,,,,,,,,
A,7/17/2021,100,21,4,,,,,,,,
A,7/18/2021,106,17,6,,,,,,,,
A,7/19/2021,108,26,7,1,,,,,,,
A,7/20/2021,131.5,21,10,1,1,,,,,,
A,7/21/2021,134,23,11,1,,,,,,,
A,7/22/2021,128,20,6,3,,,,,,,
A,7/23/2021,94,26,6,2,,,,,,,
A,7/24/2021,104,15,2,,,,,,,,
A,7/25/2021,85,19,3,1,,,,,,,
A,7/26/2021,95,21,4,2,,,,,,,
A,7/27/2021,125,28,11,,1,,,,,,
A,7/28/2021,97,22,4,1,1,,,,,,
A,7/29/2021,108.5,30,7,2,1,,,,,,
A,7/30/2021,101.5,16,4,1,,,,,,,
A,7/31/2021,148,26,11,5,,,,,,,
A,8/1/2021,129.5,26,7,3,1,,2,,,,
A,8/2/2021,106,27,7,1,,,,,1,,
A,8/3/2021,107,27,12,,,,,,,,
A,8/4/2021,139.5,18,8,2,,,,,,,
A,8/5/2021,145,29,14,4,1,,,,,,
A,8/6/2021,106,32,6,2,3,,,,,,
A,8/7/2021,84,18,3,,,,,1,,,
A,8/8/2021,90,26,5,2,,,,1,,,
A,8/9/2021,142,25,5,3,3,1,,,,,
A,8/10/2021,104,23,6,1,1,,,,,,
A,8/11/2021,108,27,7,1,2,,,,1,,
A,8/12/2021,114.5,23,6,1,,,,,,,
A,8/13/2021,148,24,5,4,1,1,2,,,,
A,8/14/2021,94,17,3,,,,,,,,
A,8/15/2021,93,22,4,1,,1,,,,,
A,8/16/2021,94.5,25,6,2,1,,,,,,
A,8/17/2021,111,21,5,,2,,,,,,
A,8/18/2021,244,16,2,2,,4,,,,,
A,8/19/2021,145,15,3,3,1,,,1,,,
A,8/20/2021,173,20,7,4,2,,,,,,
A,8/21/2021,152,15,9,1,,,,,,,
A,8/22/2021,112.5,23,4,1,1,1,,,,,
A,8/23/2021,164.5,26,11,1,2,,,,,,
A,8/24/2021,167,16,9,,2,1,,,,,
A,8/25/2021,177,35,11,6,,1,2,1,,,
A,8/26/2021,211,22,7,4,1,,,3,,,
A,8/27/2021,158,23,8,1,,2,,2,,,
A,8/28/2021,261,15,2,3,,2,,2,,,
A,8/29/2021,154,10,4,,,1,,1,,,
A,8/30/2021,161,29,15,4,1,,,1,,,
A,8/31/2021,240,16,4,2,3,2,,,,,
A,9/1/2021,146,23,10,1,,,,1,,,
A,9/2/2021,137,26,6,,1,3,,4,,,
A,9/3/2021,138,15,9,,,1,,,,,
A,9/4/2021,102,20,,2,1,,,,1,,
A,9/5/2021,94,19,5,,,,,,,,
A,9/6/2021,102,33,8,1,2,,,,,,
A,9/7/2021,186.5,19,5,5,1,1,,,,,
A,9/8/2021,129,19,7,1,,1,,,,,
A,9/9/2021,472,18,4,3,1,1,1,5,,,
A,9/10/2021,194,22,6,4,,,,4,,,
A,9/11/2021,203,16,3,1,1,,,3,,,
A,9/12/2021,604.5,10,,,1,1,3,1,,,
A,9/13/2021,287.5,18,3,4,1,1,3,1,,,
A,9/14/2021,117,15,4,1,1,1,,,,,
A,9/15/2021,147.5,25,10,2,1,,,,,,
A,9/16/2021,164,24,10,1,2,1,,2,,,
A,9/17/2021,417.5,20,2,2,5,2,2,2,,,
A,9/18/2021,232.5,21,6,2,3,1,,2,,,
A,9/19/2021,180,18,5,1,2,1,1,,,,
A,9/20/2021,209,23,10,3,2,,2,,,,
A,9/21/2021,194,30,9,5,3,,,,,,
A,9/22/2021,160.5,10,5,,1,,,,,,
A,9/23/2021,149,26,7,3,1,,,,,,
A,9/24/2021,264,18,6,3,3,1,,3,,,
A,9/25/2021,145,18,7,,2,,1,,,,
A,9/26/2021,304.5,20,4,4,3,1,1,1,,,
A,9/27/2021,163,25,10,3,1,,1,,,,
A,9/28/2021,167,22,7,7,1,,,,,,
A,9/29/2021,95,23,4,,1,,,,,,
A,9/30/2021,239,15,5,5,2,,,,,,
