Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
F,7/21/2021,151,47,15,10,2,2,1,,,,
F,7/22/2021,133,37,15,5,,2,,,,,
F,7/23/2021,102,46,13,2,2,1,,,,,
F,7/24/2021,93,31,7,2,,,,1,1,,
F,7/25/2021,98,30,7,,1,,,2,,,
F,7/26/2021,152.5,32,18,4,2,,,,,,
F,7/27/2021,125,47,20,3,2,,,,,,
F,7/28/2021,181,37,13,5,5,,,1,,,
F,7/29/2021,138.5,37,13,5,2,,,1,,,
F,7/30/2021,174.5,29,8,7,1,1,1,1,,,
F,7/31/2021,186,31,19,4,3,,,1,,,
F,8/1/2021,156,33,11,5,1,,1,1,1,,
F,8/2/2021,158,53,18,5,1,,4,3,,,
F,8/3/2021,120,41,9,6,1,1,2,1,,,
F,8/4/2021,125,33,12,5,,,,,,,
F,8/5/2021,178,31,13,4,1,,,,,,
F,8/6/2021,141,35,17,4,2,,,,,,
F,8/7/2021,101,25,8,1,,,,,,,
F,8/8/2021,102,46,12,6,,,,,,,
F,8/9/2021,205,35,12,7,3,2,,1,,,
F,8/10/2021,128,40,12,4,3,,1,2,,,
F,8/11/2021,149,38,9,5,2,1,2,2,,,
F,8/12/2021,180,37,13,5,1,2,3,2,,,
F,8/13/2021,180,30,12,8,3,,,,,,
F,8/14/2021,140.5,30,14,3,,1,,,,,
F,8/15/2021,136,44,20,3,,1,,,1,,
F,8/16/2021,107,26,7,2,,,,1,,,
F,8/17/2021,114,34,11,2,1,,1,,,,
F,8/18/2021,131.5,42,13,6,1,1,,1,,,
F,8/19/2021,170,36,17,7,2,,,1,,,
F,8/20/2021,157,35,15,6,1,,,1,,,
F,8/21/2021,113,42,14,3,1,,,,,,
F,8/22/2021,143.5,44,17,3,4,,,2,,,
F,8/23/2021,320,31,8,5,4,2,1,7,,,
F,8/24/2021,194.5,24,9,5,,,1,1,1,,
