Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
C,6/19/2021,97,5,,,,,,,,,
C,6/20/2021,127,8,4,,,,,,,,
C,6/21/2021,118,4,1,,,,,,,,
C,6/22/2021,82.5,5,,,,,,,,,
C,6/23/2021,71,4,,,,,,,,,
C,6/24/2021,37,3,,,,,,,,,
C,6/25/2021,86,7,2,,,,,,,,
C,6/26/2021,89,9,2,,,,,,,,
C,6/27/2021,98,15,3,,1,,,,1,,
C,6/28/2021,149,10,5,1,,,,,,,
C,6/29/2021,113,5,,1,,,,,,,
C,6/30/2021,113,7,2,,,,,,,,
C,7/1/2021,96,11,3,,,,,,,,
C,7/2/2021,68,12,1,,,,,,,,
C,7/3/2021,86,12,,,,,,,,,
C,7/4/2021,74.5,13,,,,,,,,,
C,7/5/2021,96,5,1,,,,,,,,
C,7/6/2021,73,7,,,1,,,,,,
C,7/7/2021,103.5,6,2,,,,,,,,
C,7/8/2021,86,6,,1,,,,,,,
C,7/9/2021,65.5,7,,,,,,,,,
C,7/10/2021,69.5,4,1,,,,,,,,
C,7/11/2021,88,9,1,,,1,,,,,
C,7/12/2021,46,12,1,,,,,,,,
C,7/13/2021,66,11,2,,,,,,,,
C,7/14/2021,104,8,1,1,1,,,,,,
C,7/15/2021,95,10,1,,,,,,,,
C,7/16/2021,75,9,1,1,,,,,,,
C,7/17/2021,108,12,2,1,,,,,,,
C,7/18/2021,56,3,,,,,,,,,
C,7/19/2021,62,11,1,,,,,,,,
C,7/20/2021,77.5,8,2,,,,,,,,
C,7/21/2021,107,7,2,,,,,,,,
C,7/22/2021,84,6,,1,,,,,,,
C,7/23/2021,114,9,2,1,,,,,,,
C,7/24/2021,61,5,1,,,,,,,,
C,7/25/2021,110.5,8,3,1,,,,,,,
C,7/26/2021,125.5,13,2,1,,,,,,,
C,7/27/2021,92,6,1,,,,,1,,,
C,7/28/2021,71,8,,,,,,,,,
C,7/29/2021,76,10,,,,,,,,,
C,7/30/2021,87,9,,1,,,,,,,
C,7/31/2021,82,9,1,,,,,,,,
C,8/1/2021,92.5,6,1,,,,,,,,
C,8/2/2021,136,8,3,1,,,,,,,
C,8/3/2021,74,3,,,,,,,,,
C,8/4/2021,85,8,1,,,,,,,,
C,8/5/2021,80,9,,1,,,,,,,
C,8/6/2021,46.5,6,,,,,,,,,
C,8/7/2021,58,7,1,,,,,,,,
C,8/8/2021,111,2,,,,,,,,,
C,8/9/2021,88,10,2,,,,,,,,
C,8/10/2021,87,8,1,,,,,,,,
C,8/11/2021,48,4,,1,,,,,,,
C,8/12/2021,25.5,6,,,,,,,,,
C,8/13/2021,129,8,3,,,,,,,,
C,8/14/2021,66,4,,,,,,,,,
C,8/15/2021,47.5,5,,,,,,,,,
C,8/16/2021,109,8,,1,1,,,,,,
C,8/17/2021,95,5,1,,,,,,,,
C,8/18/2021,120,5,2,,,,,,,,
C,8/19/2021,88,5,1,,,,,,,,
C,8/20/2021,102,7,2,,,,,,,,
C,8/21/2021,88,3,,,,,,,,,
C,8/22/2021,338,4,,,,1,,,,,
C,8/23/2021,70,9,1,,,,,,,,
C,8/24/2021,119.5,3,1,,,,,,,,
C,8/25/2021,87,9,2,,,,,,,,
C,8/26/2021,152,8,5,,,,,,,,
C,8/27/2021,97.5,11,2,,,,,,,,
C,8/28/2021,137,7,4,,,,,,,,
C,8/29/2021,133,5,3,,,,,,,,
C,8/30/2021,110.5,7,2,,,,,,,,
C,8/31/2021,149,5,,1,,,,,,,
C,9/1/2021,137.5,7,2,,,,,,,,
C,9/2/2021,135,6,2,,1,,,,,,
C,9/3/2021,151,8,2,,1,,,,,,
C,9/4/2021,48,3,,,,,,,,,
C,9/5/2021,119.5,4,1,,,,,,,,
C,9/6/2021,107,7,3,,,,,,,,
C,9/7/2021,111.5,7,2,,,,,,,,
C,9/8/2021,81,13,2,,,,1,,,,
C,9/9/2021,117,6,1,,1,,,,,,
C,9/10/2021,129,6,2,1,,,,,,,
C,9/11/2021,36,6,,,,,,,,,
C,9/12/2021,93,8,1,,,,,,,,
C,9/13/2021,84,6,1,,,,,,,,
C,9/14/2021,83,7,1,,,,,,,,
C,9/15/2021,84,4,1,,,,,,,,
C,9/16/2021,157.5,4,3,,,,,,,,
C,9/17/2021,190,3,2,,,,,,1,,
C,9/18/2021,321,2,,1,,,,,,,
C,9/19/2021,89,4,,,,,,,,,
C,9/20/2021,218,5,2,2,,,,,,,
C,9/21/2021,95.5,4,,,,,,,,,
C,9/22/2021,77,3,,,,,,,,,
C,9/23/2021,99,3,1,,,,,,,,
C,9/24/2021,102,5,2,,,,,,,,
C,9/25/2021,61,3,,,,,,,,,
C,9/26/2021,66,6,1,,,,,,,,
C,9/27/2021,87.5,5,1,,,,,,,,
C,9/28/2021,100,5,,,,,,,,,
C,9/29/2021,122.5,7,2,1,,,,,,,
C,9/30/2021,189,7,2,,,,,,,,
C,10/1/2021,237.5,4,1,2,,,,,,,
C,10/2/2021,40,3,1,,,,,,,,
C,10/3/2021,34.5,2,,,,,,,,,
C,10/4/2021,67,7,1,,,,,,,,
C,10/5/2021,202,3,1,,,,,,,,
C,10/6/2021,74,8,1,,,,,,,,
C,10/7/2021,76.5,9,2,,,,,,,,
C,10/8/2021,56,12,1,,,,,,,,
C,10/9/2021,118,4,1,,,,,,,,
C,10/10/2021,90,6,1,,,,,,,,
C,10/11/2021,189,2,1,,,,,,,,
C,10/12/2021,418,6,,1,2,1,,,,,
C,10/13/2021,207.5,4,1,1,1,,,,,,
C,10/14/2021,115,8,3,,,,,,,,
C,10/15/2021,72,4,1,,,,,,,,
C,10/16/2021,172,5,3,,,,1,,,,
C,10/17/2021,52,7,1,,,,,,,,
C,10/18/2021,78,4,,1,,,,,,,
C,10/19/2021,89,9,3,1,,,,,,,
C,10/20/2021,70,5,,,,,,,,,
C,10/21/2021,69,5,,,,,,,,,
C,10/22/2021,111,10,2,,1,,,,,,
C,10/23/2021,83,8,,2,,,,,,,
C,10/24/2021,71,10,,,,,,,,,
C,10/25/2021,77,8,1,,,,,,,,
C,10/26/2021,66,11,1,1,,,,,,,
C,10/27/2021,62,6,,1,,1,,,,,
C,10/28/2021,165.5,8,4,,,,,,,,
C,10/29/2021,82.5,3,,,,,,,,,
C,10/30/2021,81.5,7,1,,,,,,,,
C,10/31/2021,55,4,,,,,,,,,
C,11/1/2021,81,5,,,,,,,,,
C,11/2/2021,109,4,2,,,,,,,,
C,11/3/2021,88.5,6,1,,,,,,,,
C,11/4/2021,318.5,3,,,,1,,,,,
C,11/5/2021,65,8,,1,,,,,,,
C,11/6/2021,96,8,1,,,1,,,,,
C,11/7/2021,191,9,3,1,,,,,,,
C,11/8/2021,93.5,7,2,,,,,,,,
C,11/9/2021,153,7,3,1,,,,,,,
C,11/10/2021,101.5,5,1,,,,,,,,
C,11/11/2021,122,4,1,1,,,,,,,
C,11/12/2021,818.5,2,,,,,,,1,,
C,11/13/2021,90,3,,,,,,,,,
C,11/14/2021,163,4,2,,,,,,,,
C,11/15/2021,122.5,7,2,,,,,,1,,
C,11/16/2021,121.5,4,1,1,,,,,,,
C,11/17/2021,202,5,2,,1,,,,,,
C,11/18/2021,269.5,3,,,1,,,,,,
C,11/19/2021,76.5,6,1,1,,,,,,,
C,11/20/2021,77,9,,,,,,,,,
C,11/21/2021,141.5,5,2,1,,,,,,,
C,11/22/2021,101.5,10,2,,,,,,,,
C,11/23/2021,49,5,,,,,,,,,
C,11/24/2021,94.5,9,,,,,,,,,
C,11/25/2021,,1,,,,,,,,,
