Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
D,5/9/2021,99,41,14,2,,,,,,,
D,5/10/2021,101,66,27,2,,,,,,,
D,5/11/2021,138.5,52,25,5,1,,,1,,,
D,5/12/2021,132,62,27,7,1,,,,,,
D,5/13/2021,111.5,40,15,2,1,,,,,,
D,5/14/2021,139,53,24,5,,,,,,,
D,5/15/2021,134.5,56,25,7,,,,,,,
D,5/16/2021,144,59,29,6,1,,,,,,
D,5/17/2021,117,50,18,4,2,,,,,,
D,5/18/2021,95,44,11,4,,,,1,,,
D,5/19/2021,126.5,63,30,6,,,,,,,
D,5/20/2021,152.5,52,25,9,1,,,1,,,
D,5/21/2021,106,43,15,3,1,,,,,,
D,5/22/2021,86,53,17,,1,,,,,,
D,5/23/2021,100,47,13,3,,,,2,,,
D,5/24/2021,156,55,25,6,2,1,,1,,,
D,5/25/2021,125,49,17,4,2,,,3,,,
D,5/26/2021,126,39,17,5,,,,,,,
D,5/27/2021,123.5,47,19,4,,,,,,,
D,5/28/2021,136,50,30,1,,,,,,,
D,5/29/2021,111.5,58,22,5,,,,,,,
D,5/30/2021,116,60,25,1,2,,,1,,1,
D,5/31/2021,115,56,17,5,,,,3,1,,
D,6/1/2021,118,47,13,6,2,1,,,,,
D,6/2/2021,154,57,26,9,2,,1,,,,
D,6/3/2021,144,57,27,9,,,1,1,,,
D,6/4/2021,143,51,22,4,4,,,1,,1,
D,6/5/2021,135,60,25,6,,,1,1,,,
D,6/6/2021,136,51,23,4,2,,,2,1,,
D,6/7/2021,120,49,16,4,1,1,,1,,1,
D,6/8/2021,124,53,21,4,2,1,,,,,
D,6/9/2021,141,44,19,6,,,,1,,,
D,6/10/2021,124,60,26,5,1,,,,,,
D,6/11/2021,129.5,62,28,7,1,1,,,,,
D,6/12/2021,106,43,13,3,,,,,,1,
D,6/13/2021,118.5,47,16,6,,,,,,,
D,6/14/2021,129,61,25,6,3,,,,,,
D,6/15/2021,139,57,28,4,,,1,,,,
D,6/16/2021,134.5,62,26,6,3,1,,,,,
D,6/17/2021,112,48,16,3,3,1,,,,,
D,6/18/2021,130,60,25,5,3,,,,,,
D,6/19/2021,118,42,14,4,,,,1,,1,
D,6/20/2021,139,49,22,6,,,,1,,,
D,6/21/2021,139,54,22,7,2,,,,,,
D,6/22/2021,124,61,23,6,1,,,1,,,
D,6/23/2021,114,70,26,6,,,1,,,,
D,6/24/2021,149,48,23,5,1,,,1,1,,
D,6/25/2021,127,50,20,7,1,,,,,,
D,6/26/2021,128,55,22,5,1,,,1,,,
D,6/27/2021,122,63,25,4,3,,,1,,,
D,6/28/2021,158,59,22,8,4,,2,,,,
D,6/29/2021,118,48,17,3,,,,1,,,
D,6/30/2021,149,40,14,6,1,,,1,,,
D,7/1/2021,121.5,50,19,4,1,,,2,,,
D,7/2/2021,124,49,21,4,,1,,,,,
D,7/3/2021,137,48,22,4,,,,,,,
D,7/4/2021,118,49,14,5,4,,,,,,
D,7/5/2021,140.5,52,21,4,1,,,2,1,,
D,7/6/2021,127,64,29,3,1,,,1,,,
D,7/7/2021,134,58,31,4,,,,,,,
D,7/8/2021,107,58,21,4,1,,,,,,
D,7/9/2021,137,50,25,7,,,,1,,,
D,7/10/2021,127,47,20,3,,1,,,1,2,
D,7/11/2021,132,47,17,6,,,,2,1,1,
D,7/12/2021,154,58,27,6,2,,,,,,
D,7/13/2021,158,61,31,6,1,,,,,,
D,7/14/2021,147,54,27,5,2,,,2,,,
D,7/15/2021,126,59,21,9,2,,,,,,
D,7/16/2021,108,57,19,2,1,,,,,,
D,7/17/2021,106,49,20,2,1,,,,,,
D,7/18/2021,133,47,23,4,,,1,,,,
D,7/19/2021,136,60,25,8,2,,,,1,,
D,7/20/2021,127,41,16,5,,,,,1,,
D,7/21/2021,124.5,50,20,5,2,,,,,,
D,7/22/2021,155,43,23,5,,,2,,,,
