Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
B,4/7/2022,77,11,2,,,,,,,,
B,4/8/2022,117,7,2,1,,,,,,,
B,4/9/2022,79,8,1,1,,,,,,,
B,4/10/2022,87.5,8,,1,,,,,,,
B,4/11/2022,52,7,,,,,,,,,
B,4/12/2022,72,11,1,,,,,1,,,
B,4/13/2022,132,10,4,,,,,,,,
B,4/14/2022,"1,131",3,,1,,,,,1,,
B,4/15/2022,64.5,4,,,,,,,,,
B,4/16/2022,117,5,1,,,,,,,,
B,4/17/2022,60,3,,,,,,,,,
B,4/18/2022,67,6,1,1,,,,,,,
B,4/19/2022,51.5,13,1,,,,,,,,
B,4/20/2022,111,4,1,,,,,,,,
B,4/21/2022,79,7,1,,,,,,,,
B,4/22/2022,112.5,4,2,,,,,,,,
B,4/23/2022,103.5,4,1,1,,,,,,,
B,4/24/2022,77,6,2,,,,,,,,
B,4/25/2022,64,8,1,,,,,,,,
B,4/26/2022,120,12,2,2,,,,,,,
B,4/27/2022,67,5,2,,,,,,,,
B,4/28/2022,110,6,1,,,,1,,,,
B,4/29/2022,45,8,,,,,,,,,
B,4/30/2022,45,5,,1,,,,,,,
B,5/1/2022,40,6,2,,,,,,,,
B,5/2/2022,86.5,11,2,2,,,,,,,
B,5/3/2022,93,11,2,,,,,,,,
B,5/4/2022,90.5,8,2,,,,,,,,
B,5/5/2022,82,8,2,,,,,,,,
B,5/6/2022,112,10,3,,,,,,,1,
B,5/7/2022,150.5,7,3,1,,,,,,,
B,5/8/2022,75.5,7,,,,,,,,,
B,5/9/2022,105,16,4,2,,,,1,,,
B,5/10/2022,33,4,,,,,,,,,
B,5/11/2022,305.5,9,2,,1,2,,,,,
B,5/12/2022,16,4,1,,,,,,,,
B,5/13/2022,87,7,,1,,,,,,,
B,5/14/2022,73,15,3,1,1,,,,,,
B,5/15/2022,119,4,1,,,,,,,,
B,5/16/2022,93.5,6,,2,,,,,,,
B,5/17/2022,161,7,2,1,,,,,,,
B,5/18/2022,111,12,3,,1,,,,,,
B,5/19/2022,549,2,,,,1,,,,,
B,5/20/2022,88,10,1,,,,,,,,
B,5/21/2022,36,4,1,,,,,,,,
B,5/22/2022,31.5,5,,,,,,,,,
B,5/23/2022,55,6,1,,,,,,,,
