Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
G,10/2/2021,136,35,14,4,3,1,,,,1,
G,10/3/2021,193,30,16,7,,1,,,1,1,
G,10/4/2021,308,47,10,11,5,6,1,6,,,
G,10/5/2021,391,40,5,9,6,3,5,8,,,
G,10/6/2021,599,38,4,3,5,3,6,11,2,,
G,10/7/2021,323,41,10,10,3,2,3,9,,,
G,10/8/2021,467.5,37,4,4,5,3,1,11,2,,
G,10/9/2021,130,20,3,1,3,,4,,,,
G,10/10/2021,310,50,9,8,3,4,2,9,3,1,
G,10/11/2021,552,34,4,4,2,5,3,10,2,1,
G,10/12/2021,137,39,13,2,3,5,,,,1,
G,10/13/2021,263,41,15,6,2,4,1,8,,,
G,10/14/2021,471,42,9,7,2,3,3,14,,,
G,10/15/2021,200.5,40,11,7,3,3,1,5,,,
G,10/16/2021,178.5,36,15,3,3,2,3,,1,,
G,10/17/2021,218,46,10,2,3,4,4,6,1,,
G,10/18/2021,535.5,39,5,4,3,7,4,13,,,
G,10/19/2021,649,40,5,6,2,2,4,16,1,,
G,10/20/2021,345,35,6,9,6,4,1,5,,,
G,10/21/2021,291,33,6,6,2,1,3,7,2,,
G,10/22/2021,457,33,4,9,2,3,4,8,,1,
G,10/23/2021,173,49,18,10,4,2,,,,,
G,10/24/2021,228.5,43,16,4,4,3,2,5,,2,
G,10/25/2021,478,31,4,3,5,5,4,5,1,,
G,10/26/2021,192,49,22,6,3,4,,4,1,,
G,10/27/2021,243,42,11,10,7,2,1,2,,,
G,10/28/2021,234,38,16,8,2,3,1,3,,,
G,10/29/2021,223,45,16,9,4,5,1,3,,,
G,10/30/2021,132,24,14,,1,,,,,1,
G,10/31/2021,197.5,39,14,5,3,1,2,5,,,
G,11/1/2021,376.5,41,4,14,3,5,3,10,,,
G,11/2/2021,217.5,43,13,7,4,3,1,2,,1,
G,11/3/2021,228,48,16,6,9,2,1,5,,,
G,11/4/2021,279.5,49,20,7,7,2,2,6,,,
G,11/5/2021,210,37,14,8,3,1,1,3,,,
G,11/6/2021,151,41,16,7,1,,,,,,
G,11/7/2021,149.5,43,15,5,1,1,1,,2,,
G,11/8/2021,511,42,5,6,6,4,3,14,1,,
G,11/9/2021,260,32,10,6,5,1,2,4,,,
G,11/10/2021,205.5,45,14,7,3,2,3,3,,,
G,11/11/2021,272,45,15,7,4,2,2,9,1,,
G,11/12/2021,220,38,13,8,1,4,1,2,,1,
G,11/13/2021,156,43,11,4,4,3,2,2,,,
G,11/14/2021,207,38,9,5,2,2,2,6,1,,
G,11/15/2021,625,41,2,5,3,5,6,14,,2,
G,11/16/2021,292.5,36,11,9,3,2,1,4,2,1,
G,11/17/2021,213,43,12,7,6,2,2,2,,1,
G,11/18/2021,206,41,17,6,3,,,8,1,,
G,11/19/2021,238,35,14,9,3,1,1,2,,1,
G,11/20/2021,152.5,43,20,6,3,,,2,1,1,
G,11/21/2021,292,39,11,7,3,4,2,5,1,,
G,11/22/2021,560,34,2,6,4,1,5,10,1,,
G,11/23/2021,283,44,13,7,6,2,6,4,1,,
G,11/24/2021,201,49,21,10,1,2,3,1,,,
G,11/25/2021,212,36,18,5,,2,1,3,,,
G,11/26/2021,217,37,11,4,2,2,,8,,,
G,11/27/2021,137,30,6,6,1,1,1,1,1,,
G,11/28/2021,125.5,34,12,1,2,1,1,1,,,
G,11/29/2021,440,43,8,5,5,2,,12,5,1,
G,11/30/2021,278,42,10,8,3,5,,8,,,
G,12/1/2021,193,44,23,7,2,1,1,3,,,
G,12/2/2021,172,42,16,6,4,2,1,1,,,
G,12/3/2021,174,47,31,5,2,1,1,2,,,
G,12/4/2021,185.5,35,20,7,1,1,,2,,,
G,12/5/2021,235,44,16,7,7,2,1,3,,1,
G,12/6/2021,427,40,12,4,4,3,3,5,5,,
G,12/7/2021,240,36,13,4,5,1,5,2,,1,
G,12/8/2021,239,39,10,7,3,1,1,6,,,
G,12/9/2021,229,35,13,2,4,,3,5,,,
G,12/10/2021,283,38,9,8,6,2,1,6,,,
G,12/11/2021,191,42,15,6,5,3,1,3,,,
G,12/12/2021,387.5,39,10,5,2,2,1,11,2,1,
G,12/13/2021,758,41,5,,4,1,3,22,2,,
G,12/14/2021,302.5,25,5,6,2,3,,3,1,,
G,12/15/2021,251.5,32,11,8,3,,,2,1,1,
G,12/16/2021,220,40,15,8,3,3,,2,,,
G,12/17/2021,147,38,18,6,,1,,1,,,
G,12/18/2021,181,28,14,3,2,1,1,,1,,
G,12/19/2021,146,29,18,3,,1,,1,,,
G,12/20/2021,122,32,13,4,1,,,,,,
G,12/21/2021,166.5,38,20,3,1,,2,,,,
G,12/22/2021,176.5,47,20,10,,2,1,,,,
G,12/23/2021,151,40,21,4,3,1,,,,,
G,12/24/2021,148,33,16,1,1,1,,2,,,
G,12/25/2021,119.5,32,11,,5,,,,,,
G,12/26/2021,151.5,43,20,4,2,2,,,,,
G,12/27/2021,801,43,4,4,3,,2,17,7,,
G,12/28/2021,290.5,33,10,9,3,3,2,2,1,,
G,12/29/2021,213,54,23,11,5,,3,4,,,
G,12/30/2021,254,42,11,10,3,3,2,7,,,
G,12/31/2021,146,42,15,3,1,1,,6,,,
G,1/1/2022,124,27,8,4,,1,1,1,,,
G,1/2/2022,190,49,16,13,3,,1,1,,,
G,1/3/2022,536,42,7,8,3,3,6,12,,,
G,1/4/2022,212,45,19,9,2,2,2,2,1,,
G,1/5/2022,266,47,10,6,4,6,5,6,1,,
G,1/6/2022,345.5,43,5,12,7,6,2,5,,,
G,1/7/2022,205,43,16,10,4,1,1,3,,,
G,1/8/2022,160.5,36,14,7,2,,1,,,,
G,1/9/2022,138,25,11,,2,,,1,,,
G,1/10/2022,254,48,13,9,3,4,1,8,,,
G,1/11/2022,255,34,14,4,4,1,2,6,,,
G,1/12/2022,294,51,8,7,7,7,4,5,1,,
G,1/13/2022,177.5,47,22,4,7,2,,2,,,
G,1/14/2022,148,40,11,7,2,,,3,,,
G,1/15/2022,182,33,12,4,1,2,1,2,,,
G,1/16/2022,314,40,13,4,2,5,4,3,1,,
G,1/17/2022,203,42,17,8,4,4,,,,,
G,1/18/2022,230,45,16,7,7,5,1,,,,
G,1/19/2022,257,46,12,14,3,1,1,6,,1,
G,1/20/2022,249.5,37,11,6,,4,2,8,,,
G,1/21/2022,218.5,38,12,4,5,3,1,3,,,
G,1/22/2022,163,34,14,7,1,,,,,,
G,1/23/2022,199,37,11,8,3,1,,2,1,,
G,1/24/2022,364,50,11,5,7,5,2,11,,,
G,1/25/2022,254.5,41,10,11,3,2,1,2,,1,
G,1/26/2022,292,47,11,5,3,3,2,11,,,
G,1/27/2022,154,35,16,6,3,1,,,,,
G,1/28/2022,180,32,14,4,2,1,,,,,
G,1/29/2022,195.5,33,19,3,,1,2,,,,
G,1/30/2022,141,31,11,6,1,,2,,,1,
G,1/31/2022,180.5,39,13,7,3,1,,2,,,
G,2/1/2022,192,48,22,7,,1,,7,,,
G,2/2/2022,180,39,17,6,4,2,,1,,,
G,2/3/2022,151.5,33,16,4,1,,,1,,,
G,2/4/2022,167,48,21,9,6,1,,,,,
G,2/5/2022,169,41,17,8,2,,,,,,
G,2/6/2022,143,29,19,,2,,,1,,,
G,2/7/2022,283.5,49,13,12,5,3,1,7,,,
G,2/8/2022,371.5,52,13,4,7,4,4,8,2,,
G,2/9/2022,189,53,20,10,3,1,3,1,,,
G,2/10/2022,183.5,52,22,10,3,,,,1,,
G,2/11/2022,198,44,17,8,4,1,4,,,,
G,2/12/2022,178,39,19,5,3,,1,,,,
G,2/13/2022,131,29,11,2,1,1,2,,,,
G,2/14/2022,160,50,19,7,2,2,,2,,,
G,2/15/2022,176,48,15,9,3,,3,3,,,
G,2/16/2022,185,45,20,5,3,1,5,1,,,
G,2/17/2022,191,40,17,6,3,2,,,,,
G,2/18/2022,126,34,12,6,1,,,,,,
G,2/19/2022,135.5,35,14,3,1,,1,1,,,
G,2/20/2022,108,37,11,3,,,,,,1,
G,2/21/2022,214.5,41,12,6,2,3,1,6,,,
G,2/22/2022,249,45,9,9,6,3,2,3,,,
G,2/23/2022,148.5,38,12,7,1,,,,,,
G,2/24/2022,132,44,16,1,1,2,3,2,,,
G,2/25/2022,179,49,15,13,3,1,,4,,,
G,2/26/2022,181.5,41,14,13,1,1,,,,,
G,2/27/2022,145.5,39,16,6,,,1,2,,,
G,2/28/2022,294,46,11,9,6,5,1,5,,,
G,3/1/2022,168,42,16,1,3,1,4,3,,,
G,3/2/2022,210.5,50,19,6,5,4,1,3,,,
G,3/3/2022,294,30,6,7,1,2,3,4,,,
G,3/4/2022,185,42,18,8,2,3,,1,,,
G,3/5/2022,101,31,11,2,1,,,,,,
G,3/6/2022,138,31,16,2,1,,,,,1,
G,3/7/2022,230,41,14,9,4,3,,,,,
G,3/8/2022,166,47,17,7,1,3,2,3,,,
G,3/9/2022,171,52,17,6,1,1,,8,1,,
G,3/10/2022,141,42,18,3,2,1,,1,1,,
G,3/11/2022,191,46,18,10,3,,,2,,,
G,3/12/2022,160.5,38,16,4,1,,1,,,,
G,3/13/2022,166,38,13,6,2,1,2,,,,
G,3/14/2022,148,44,17,5,,3,,1,,1,
G,3/15/2022,172,37,15,6,,1,1,3,,,
G,3/16/2022,172,45,18,11,3,1,,1,,,
G,3/17/2022,164,42,16,7,4,1,,1,,,
G,3/18/2022,202,41,17,6,3,3,,1,,,
G,3/19/2022,130.5,38,21,4,,,,,,,
G,3/20/2022,149.5,43,16,4,4,,,1,1,,
G,3/21/2022,199,55,19,9,3,2,4,5,,,
G,3/22/2022,239,39,10,3,2,5,2,5,,,
G,3/23/2022,151,32,12,3,2,,,1,1,,
G,3/24/2022,187,39,15,7,2,2,1,2,,,
G,3/25/2022,113.5,36,14,2,,,,,,,
G,3/26/2022,131,34,21,3,,,,,,,
G,3/27/2022,159.5,46,22,7,,1,,,,,
G,3/28/2022,122.5,49,17,4,1,,,3,,,
G,3/29/2022,141,48,16,5,3,2,,,,,
G,3/30/2022,154,50,16,10,2,,,,,,
G,3/31/2022,145,25,11,5,1,,,1,,,
G,4/1/2022,132,45,17,7,2,2,1,,,,
G,4/2/2022,107,44,13,2,2,1,,,,,
G,4/3/2022,128.5,26,12,,1,,,,,,
G,4/4/2022,132,52,22,8,,,,,1,,
G,4/5/2022,120,50,18,4,,,1,,,,
G,4/6/2022,187,42,12,7,3,2,3,,,,
G,4/7/2022,144,41,19,4,,,,,,,
G,4/8/2022,127,37,12,6,1,1,,1,,,
G,4/9/2022,114.5,35,12,4,,1,,,,,
G,4/10/2022,196,42,19,6,4,1,,2,,,
G,4/11/2022,164,56,20,9,2,1,2,7,,,
G,4/12/2022,254,41,11,5,6,5,1,4,,,
G,4/13/2022,167,44,18,6,3,2,,,,,
G,4/14/2022,153.5,43,28,2,1,,,,,,
G,4/15/2022,117,44,13,3,1,1,1,1,,,
G,4/16/2022,107,33,10,1,1,,,,,,
G,4/17/2022,124,35,14,3,,,,,,,
G,4/18/2022,104.5,46,16,3,2,,,,,,
G,4/19/2022,144,58,29,3,1,,1,3,,,
G,4/20/2022,155.5,40,18,5,,,1,1,,,
G,4/21/2022,171,36,16,5,,2,1,,,,
