
"DOS (No Time)","Median Decision to Departure","Total Admitted Pts","2-4 Hours","4-6 Hours","6-8 Hours","8-10 Hours","10-12 Hours","12-24 Hours","24-36 Hours","36-48 Hours","> 48 Hours"
"6/14/21","69","7","","","","","","","","",""
"6/15/21","83","12","2","","","1","","","1","",""
"6/16/21","101","10","2","2","","","","","","",""
"6/17/21","103","4","1","","","1","","","","",""
"6/18/21","111","7","3","","","","","","","",""
"6/19/21","134.5","2","1","","","","","","","",""
"6/20/21","115","7","2","","","","","1","","",""
"6/21/21","70","7","1","","","","","","","",""
"6/22/21","123","7","2","2","","","","","","",""
"6/23/21","71.5","9","2","","","","","","","",""
"6/24/21","148","9","4","","","1","","","","",""
"6/25/21","63","3","1","","","","","","","",""
"6/26/21","75","7","2","","","","","","","",""
"6/27/21","69","7","1","1","","","","","","",""
"6/28/21","55","3","","","","","","","","",""
"6/29/21","28","4","","","","","","","","",""
"6/30/21","50","6","","","","","","","","",""
"7/1/21","41","5","1","","","","","","","",""
"7/2/21","88","5","1","","","","","","","",""
"7/3/21","110","3","","","","","","","","",""
"7/4/21","84","3","","","","","","","","",""
"7/5/21","276","3","","1","","","1","","","",""
"7/6/21","64","6","1","","","","","","","",""
"7/7/21","61","6","","","","","","","","",""
"7/9/21","111","7","3","","","","","","","",""
"7/10/21","56","7","2","","","","","","","",""
"7/11/21","42","1","","","","","","","","",""
"7/12/21","83.5","8","","","","","","","","",""
"7/13/21","77.5","3","","","","","","","","",""
"7/14/21","71.5","6","1","","","","","","","",""
"7/15/21","43","5","1","","","","","","","",""
"7/16/21","18","4","1","","","","","","","",""
"7/17/21","46","4","1","","","","","","","",""
"7/18/21","28.5","4","","","","","","","","",""
"7/19/21","106","9","2","1","","","","","","",""
"7/20/21","32","3","","","","","","","","",""
"7/21/21","46","6","","","","","","","","",""
"7/22/21","79","6","","","","","","","","",""
"7/23/21","120","9","4","","1","","1","","","",""
"7/24/21","33.5","4","","1","","","","","","",""
"7/25/21","24","3","","","","","","","","",""
"7/26/21","89","5","1","","","","","","","",""
"7/27/21","53.5","4","1","","","","","","","",""
"7/28/21","69","4","","1","","","","","","",""
"7/29/21","95.5","6","3","","","","","","","",""
