Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
K,8/8/2021,147.5,50,13,4,3,3,2,5,,,
K,8/9/2021,207.5,49,19,9,2,2,2,4,1,,
K,8/10/2021,175,44,23,8,2,,,2,,,
K,8/11/2021,260,59,16,14,7,3,4,4,,,
K,8/12/2021,215,38,18,9,3,,1,1,,,
K,8/13/2021,165.5,42,23,6,3,1,,1,,,
K,8/14/2021,143,45,22,3,,1,,,,,
K,8/15/2021,154,45,26,4,1,1,,3,,,
K,8/16/2021,176,52,24,7,1,2,,5,,,
K,8/17/2021,141,51,13,12,2,,,,,,
K,8/18/2021,157,50,27,3,1,,,1,,,
K,8/19/2021,165,47,24,8,1,1,,,,,
K,8/20/2021,143.5,49,19,3,5,1,1,,,,
K,8/21/2021,153,36,19,3,1,1,,2,,,
K,8/22/2021,139,47,19,5,3,,,,,,
K,8/23/2021,141,51,19,8,2,,1,2,,,
K,8/24/2021,160,45,13,8,4,1,,1,1,,
K,8/25/2021,140,50,19,6,2,1,,3,,,
K,8/26/2021,167,47,23,7,2,2,1,,,,
K,8/27/2021,179,54,25,6,3,3,1,2,,,
K,8/28/2021,171.5,60,29,5,2,1,2,2,1,,
K,8/29/2021,186.5,46,22,8,3,,,1,,,
K,8/30/2021,221,49,13,6,8,1,1,8,,,
K,8/31/2021,167.5,52,26,8,,3,,1,,,
K,9/1/2021,195.5,52,29,10,3,2,,,,,
K,9/2/2021,189,55,29,8,,3,2,,,,
K,9/3/2021,161.5,55,21,8,3,2,1,4,,,
K,9/4/2021,211,34,10,9,,1,,3,,,
K,9/5/2021,176,57,27,7,2,,1,3,,,
K,9/6/2021,204,48,17,7,1,,3,9,,,
K,9/7/2021,220,41,15,6,,4,2,6,,,
K,9/8/2021,175,47,17,7,3,1,2,3,,,
K,9/9/2021,181,50,25,7,2,2,1,,,,
K,9/10/2021,148,48,18,7,1,1,1,2,,,
K,9/11/2021,207,48,21,8,1,3,,4,,,
K,9/12/2021,160,38,13,10,2,,1,1,,,
K,9/13/2021,296,45,18,8,6,6,2,4,,,
K,9/14/2021,172.5,50,30,7,1,,2,2,,,
K,9/15/2021,188,58,17,13,4,4,,3,,1,
K,9/16/2021,198,34,17,7,,,2,2,,,
K,9/17/2021,154,43,17,9,1,,,1,,,
K,9/18/2021,129,34,14,1,3,,,,,,
K,9/19/2021,196,45,21,4,5,3,,2,,,
K,9/20/2021,345,45,11,8,8,2,1,10,1,,
K,9/21/2021,268,50,10,6,9,,1,10,,,
K,9/22/2021,211,40,13,3,4,2,4,2,,,
K,9/23/2021,202.5,53,24,7,2,3,2,4,,,
K,9/24/2021,220.5,44,17,13,3,1,1,2,,,
K,9/25/2021,140.5,48,26,2,2,,,1,,,
K,9/26/2021,111,41,13,2,1,,,1,,,
K,9/27/2021,132,43,22,6,,,,,,,
K,9/28/2021,173,55,26,8,4,2,1,3,,,
K,9/29/2021,183.5,54,28,11,,,,3,,,
K,9/30/2021,232,46,15,10,6,3,3,,,1,
K,10/1/2021,179,65,33,10,,1,2,3,,,
K,10/2/2021,135.5,42,19,5,,1,,,,,
K,10/3/2021,179,53,24,2,1,3,2,8,,1,
K,10/4/2021,286,40,10,11,3,1,3,4,3,,
K,10/5/2021,184,41,21,3,3,3,1,3,,,
K,10/6/2021,151.5,46,23,8,,1,,,,,
K,10/7/2021,175.5,52,29,11,,,1,2,,,
K,10/8/2021,178,56,31,9,2,1,,1,,,
K,10/9/2021,152,43,27,3,1,,,,,,
K,10/10/2021,236.5,44,17,12,,,2,8,,,
K,10/11/2021,371,59,12,12,6,2,4,13,5,,
