Hospital,DOS (No Time),Median Decision to Departure,Total Admitted Pts,2-4 Hours,4-6 Hours,6-8 Hours,8-10 Hours,10-12 Hours,12-24 Hours,24-36 Hours,36-48 Hours,> 48 Hours
J,7/13/2021,86.5,28,3,3,,,,1,,1,
J,7/14/2021,107,21,7,3,,,,,,,
J,7/15/2021,132,21,7,3,,,,1,,,
J,7/16/2021,69,19,4,,,,,,,,
J,7/17/2021,72,23,3,1,1,,,,,,
J,7/18/2021,65,27,8,,,,,,,,
J,7/19/2021,101.5,22,7,1,,,1,,,,
J,7/20/2021,93,17,1,2,3,,,,,1,
J,7/21/2021,136,29,9,4,2,,,1,,,
J,7/22/2021,134,22,11,,1,,,,,,
J,7/23/2021,76,17,,1,1,,,1,,,
J,7/24/2021,116,15,5,1,,,,,,,
J,7/25/2021,79,20,4,,,,,1,,,
J,7/26/2021,102,21,2,4,,,,1,,,
J,7/27/2021,71,21,4,1,,,,,,,
J,7/28/2021,79,17,2,,,,,,,,
J,7/29/2021,99,25,6,1,,1,1,1,1,,
J,7/30/2021,79.5,18,2,1,1,,,1,,,
J,7/31/2021,79,16,2,1,,,,1,,,
J,8/1/2021,122,22,5,2,2,,1,,,1,
J,8/2/2021,79.5,20,3,1,,1,,,,,
J,8/3/2021,80,20,,3,1,,,,,,
J,8/4/2021,123,21,8,3,,,,,,,
J,8/5/2021,139,25,7,4,1,3,,,,,
J,8/6/2021,52.5,18,1,1,,,,,,,
J,8/7/2021,81,24,3,,,,,,,,
J,8/8/2021,88,22,3,1,,,,,,,
J,8/9/2021,302.5,30,5,8,5,,1,5,,,
J,8/10/2021,173.5,22,8,2,,,,5,,,
J,8/11/2021,192,19,3,3,1,,,4,,,
J,8/12/2021,183,14,5,2,,,,1,,,
J,8/13/2021,140,10,4,2,,,,,,,
J,8/14/2021,90.5,19,5,,,,,1,,,
J,8/15/2021,50.5,23,1,,1,1,,,,,
J,8/16/2021,238,35,7,4,1,1,5,5,,1,
J,8/17/2021,114,19,2,2,1,,2,1,,,
J,8/18/2021,98,21,7,,,,,1,,,
J,8/19/2021,160.5,24,7,,2,,1,3,1,,
J,8/20/2021,140,16,3,3,2,1,,,,,
J,8/21/2021,157,17,7,3,,1,1,1,,,
J,8/22/2021,85,20,3,1,1,1,,,,,
J,8/23/2021,99.5,18,5,1,1,,2,,,,
J,8/24/2021,76,12,3,,,,,,,,
J,8/25/2021,127.5,32,10,3,4,,,1,,,
J,8/26/2021,218,21,7,6,,1,1,,,,
J,8/27/2021,239,22,3,4,3,,2,2,,,
J,8/28/2021,97,23,3,2,1,1,1,,,,
J,8/29/2021,135,25,7,3,,,2,1,,,
J,8/30/2021,100,16,1,2,1,,1,,,,
J,8/31/2021,105,23,7,2,,,,,,,
J,9/1/2021,77,21,4,1,3,,,,,,
J,9/2/2021,96,24,5,,,1,,1,,,
J,9/3/2021,80,21,4,1,,,,,,,
J,9/4/2021,163,17,6,2,1,,1,1,,,
J,9/5/2021,130,16,8,1,1,,,,,,
J,9/6/2021,62,24,4,,1,,,,,,
J,9/7/2021,100,25,4,2,1,,,,,,
J,9/8/2021,255,22,3,5,1,1,,5,,,
J,9/9/2021,224,20,5,6,1,,1,1,,,
J,9/10/2021,135,21,2,3,3,1,2,,,,
J,9/11/2021,140,20,6,1,2,1,,2,,,
J,9/12/2021,103.5,20,4,2,2,,,1,,,
J,9/13/2021,151,18,6,3,2,,,1,,,
J,9/14/2021,128,23,6,4,,,2,,,,
J,9/15/2021,142,28,8,4,1,3,1,,,,
J,9/16/2021,98.5,16,5,,2,,,,,,
J,9/17/2021,164,20,7,3,,,,3,,,
J,9/18/2021,158,17,6,1,1,1,1,,,,
J,9/19/2021,81,18,2,,,1,1,2,,,
J,9/20/2021,325,19,3,3,2,,4,1,1,,
J,9/21/2021,49,18,2,,1,,,,1,,
J,9/22/2021,85,13,2,1,,1,,,,,
J,9/23/2021,114,28,6,,,1,,5,,,
J,9/24/2021,206,16,5,4,1,1,,1,,,
